"","year","prov","sector","scenario","emissions"
"1",2005,"AB","Electricity","2022 Additional Measures Scenario",0
"2",2005,"AB","Electricity","2022 Reference Case",0
"3",2005,"AB","Electricity","NIR 2022",47.7
"4",2005,"BC","Electricity","2022 Additional Measures Scenario",0
"5",2005,"BC","Electricity","2022 Reference Case",0
"6",2005,"BC","Electricity","NIR 2022",1
"7",2005,"Canada","Electricity","2022 Additional Measures Scenario",0
"8",2005,"Canada","Electricity","2022 Reference Case",0
"9",2005,"Canada","Electricity","NIR 2022",117.5
"10",2005,"MB","Electricity","2022 Additional Measures Scenario",0
"11",2005,"MB","Electricity","2022 Reference Case",0
"12",2005,"MB","Electricity","NIR 2022",0.4
"13",2005,"ATL","Electricity","2022 Additional Measures Scenario",0
"14",2005,"ATL","Electricity","2022 Reference Case",0
"15",2005,"ATL","Electricity","NIR 2022",19.4
"16",2005,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"17",2005,"Northwest Territories","Electricity","2022 Reference Case",0
"18",2005,"Northwest Territories","Electricity","NIR 2022",0
"19",2005,"ON","Electricity","2022 Additional Measures Scenario",0
"20",2005,"ON","Electricity","2022 Reference Case",0
"21",2005,"ON","Electricity","NIR 2022",33.9
"22",2005,"QC","Electricity","2022 Additional Measures Scenario",0
"23",2005,"QC","Electricity","2022 Reference Case",0
"24",2005,"QC","Electricity","NIR 2022",0.6
"25",2005,"SK","Electricity","2022 Additional Measures Scenario",0
"26",2005,"SK","Electricity","2022 Reference Case",0
"27",2005,"SK","Electricity","NIR 2022",14.3
"28",2006,"AB","Electricity","2022 Additional Measures Scenario",0
"29",2006,"AB","Electricity","2022 Reference Case",0
"30",2006,"AB","Electricity","NIR 2022",47.9
"31",2006,"BC","Electricity","2022 Additional Measures Scenario",0
"32",2006,"BC","Electricity","2022 Reference Case",0
"33",2006,"BC","Electricity","NIR 2022",1.1
"34",2006,"Canada","Electricity","2022 Additional Measures Scenario",0
"35",2006,"Canada","Electricity","2022 Reference Case",0
"36",2006,"Canada","Electricity","NIR 2022",111.6
"37",2006,"MB","Electricity","2022 Additional Measures Scenario",0
"38",2006,"MB","Electricity","2022 Reference Case",0
"39",2006,"MB","Electricity","NIR 2022",0.4
"40",2006,"ATL","Electricity","2022 Additional Measures Scenario",0
"41",2006,"ATL","Electricity","2022 Reference Case",0
"42",2006,"ATL","Electricity","NIR 2022",18.1
"43",2006,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"44",2006,"Northwest Territories","Electricity","2022 Reference Case",0
"45",2006,"Northwest Territories","Electricity","NIR 2022",0
"46",2006,"ON","Electricity","2022 Additional Measures Scenario",0
"47",2006,"ON","Electricity","2022 Reference Case",0
"48",2006,"ON","Electricity","NIR 2022",29.5
"49",2006,"QC","Electricity","2022 Additional Measures Scenario",0
"50",2006,"QC","Electricity","2022 Reference Case",0
"51",2006,"QC","Electricity","NIR 2022",0.5
"52",2006,"SK","Electricity","2022 Additional Measures Scenario",0
"53",2006,"SK","Electricity","2022 Reference Case",0
"54",2006,"SK","Electricity","NIR 2022",13.8
"55",2007,"AB","Electricity","2022 Additional Measures Scenario",0
"56",2007,"AB","Electricity","2022 Reference Case",0
"57",2007,"AB","Electricity","NIR 2022",48.5
"58",2007,"BC","Electricity","2022 Additional Measures Scenario",0
"59",2007,"BC","Electricity","2022 Reference Case",0
"60",2007,"BC","Electricity","NIR 2022",0.9
"61",2007,"Canada","Electricity","2022 Additional Measures Scenario",0
"62",2007,"Canada","Electricity","2022 Reference Case",0
"63",2007,"Canada","Electricity","NIR 2022",119.6
"64",2007,"MB","Electricity","2022 Additional Measures Scenario",0
"65",2007,"MB","Electricity","2022 Reference Case",0
"66",2007,"MB","Electricity","NIR 2022",0.5
"67",2007,"ATL","Electricity","2022 Additional Measures Scenario",0
"68",2007,"ATL","Electricity","2022 Reference Case",0
"69",2007,"ATL","Electricity","NIR 2022",19.9
"70",2007,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"71",2007,"Northwest Territories","Electricity","2022 Reference Case",0
"72",2007,"Northwest Territories","Electricity","NIR 2022",0
"73",2007,"ON","Electricity","2022 Additional Measures Scenario",0
"74",2007,"ON","Electricity","2022 Reference Case",0
"75",2007,"ON","Electricity","NIR 2022",32.7
"76",2007,"QC","Electricity","2022 Additional Measures Scenario",0
"77",2007,"QC","Electricity","2022 Reference Case",0
"78",2007,"QC","Electricity","NIR 2022",2.5
"79",2007,"SK","Electricity","2022 Additional Measures Scenario",0
"80",2007,"SK","Electricity","2022 Reference Case",0
"81",2007,"SK","Electricity","NIR 2022",14.4
"82",2008,"AB","Electricity","2022 Additional Measures Scenario",0
"83",2008,"AB","Electricity","2022 Reference Case",0
"84",2008,"AB","Electricity","NIR 2022",48.3
"85",2008,"BC","Electricity","2022 Additional Measures Scenario",0
"86",2008,"BC","Electricity","2022 Reference Case",0
"87",2008,"BC","Electricity","NIR 2022",1.2
"88",2008,"Canada","Electricity","2022 Additional Measures Scenario",0
"89",2008,"Canada","Electricity","2022 Reference Case",0
"90",2008,"Canada","Electricity","NIR 2022",108.8
"91",2008,"MB","Electricity","2022 Additional Measures Scenario",0
"92",2008,"MB","Electricity","2022 Reference Case",0
"93",2008,"MB","Electricity","NIR 2022",0.4
"94",2008,"ATL","Electricity","2022 Additional Measures Scenario",0
"95",2008,"ATL","Electricity","2022 Reference Case",0
"96",2008,"ATL","Electricity","NIR 2022",17.1
"97",2008,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"98",2008,"Northwest Territories","Electricity","2022 Reference Case",0
"99",2008,"Northwest Territories","Electricity","NIR 2022",0
"100",2008,"ON","Electricity","2022 Additional Measures Scenario",0
"101",2008,"ON","Electricity","2022 Reference Case",0
"102",2008,"ON","Electricity","NIR 2022",27
"103",2008,"QC","Electricity","2022 Additional Measures Scenario",0
"104",2008,"QC","Electricity","2022 Reference Case",0
"105",2008,"QC","Electricity","NIR 2022",0.5
"106",2008,"SK","Electricity","2022 Additional Measures Scenario",0
"107",2008,"SK","Electricity","2022 Reference Case",0
"108",2008,"SK","Electricity","NIR 2022",14.1
"109",2009,"AB","Electricity","2022 Additional Measures Scenario",0
"110",2009,"AB","Electricity","2022 Reference Case",0
"111",2009,"AB","Electricity","NIR 2022",45.3
"112",2009,"BC","Electricity","2022 Additional Measures Scenario",0
"113",2009,"BC","Electricity","2022 Reference Case",0
"114",2009,"BC","Electricity","NIR 2022",1.1
"115",2009,"Canada","Electricity","2022 Additional Measures Scenario",0
"116",2009,"Canada","Electricity","2022 Reference Case",0
"117",2009,"Canada","Electricity","NIR 2022",93.7
"118",2009,"MB","Electricity","2022 Additional Measures Scenario",0
"119",2009,"MB","Electricity","2022 Reference Case",0
"120",2009,"MB","Electricity","NIR 2022",0.2
"121",2009,"ATL","Electricity","2022 Additional Measures Scenario",0
"122",2009,"ATL","Electricity","2022 Reference Case",0
"123",2009,"ATL","Electricity","NIR 2022",16.9
"124",2009,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"125",2009,"Northwest Territories","Electricity","2022 Reference Case",0
"126",2009,"Northwest Territories","Electricity","NIR 2022",0
"127",2009,"ON","Electricity","2022 Additional Measures Scenario",0
"128",2009,"ON","Electricity","2022 Reference Case",0
"129",2009,"ON","Electricity","NIR 2022",14.4
"130",2009,"QC","Electricity","2022 Additional Measures Scenario",0
"131",2009,"QC","Electricity","2022 Reference Case",0
"132",2009,"QC","Electricity","NIR 2022",0.7
"133",2009,"SK","Electricity","2022 Additional Measures Scenario",0
"134",2009,"SK","Electricity","2022 Reference Case",0
"135",2009,"SK","Electricity","NIR 2022",15
"136",2010,"AB","Electricity","2022 Additional Measures Scenario",0
"137",2010,"AB","Electricity","2022 Reference Case",0
"138",2010,"AB","Electricity","NIR 2022",44.7
"139",2010,"BC","Electricity","2022 Additional Measures Scenario",0
"140",2010,"BC","Electricity","2022 Reference Case",0
"141",2010,"BC","Electricity","NIR 2022",1
"142",2010,"Canada","Electricity","2022 Additional Measures Scenario",0
"143",2010,"Canada","Electricity","2022 Reference Case",0
"144",2010,"Canada","Electricity","NIR 2022",94.6
"145",2010,"MB","Electricity","2022 Additional Measures Scenario",0
"146",2010,"MB","Electricity","2022 Reference Case",0
"147",2010,"MB","Electricity","NIR 2022",0.1
"148",2010,"ATL","Electricity","2022 Additional Measures Scenario",0
"149",2010,"ATL","Electricity","2022 Reference Case",0
"150",2010,"ATL","Electricity","NIR 2022",14.3
"151",2010,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"152",2010,"Northwest Territories","Electricity","2022 Reference Case",0
"153",2010,"Northwest Territories","Electricity","NIR 2022",0
"154",2010,"ON","Electricity","2022 Additional Measures Scenario",0
"155",2010,"ON","Electricity","2022 Reference Case",0
"156",2010,"ON","Electricity","NIR 2022",18.9
"157",2010,"QC","Electricity","2022 Additional Measures Scenario",0
"158",2010,"QC","Electricity","2022 Reference Case",0
"159",2010,"QC","Electricity","NIR 2022",0.5
"160",2010,"SK","Electricity","2022 Additional Measures Scenario",0
"161",2010,"SK","Electricity","2022 Reference Case",0
"162",2010,"SK","Electricity","NIR 2022",14.9
"163",2011,"AB","Electricity","2022 Additional Measures Scenario",0
"164",2011,"AB","Electricity","2022 Reference Case",0
"165",2011,"AB","Electricity","NIR 2022",44.8
"166",2011,"BC","Electricity","2022 Additional Measures Scenario",0
"167",2011,"BC","Electricity","2022 Reference Case",0
"168",2011,"BC","Electricity","NIR 2022",0.3
"169",2011,"Canada","Electricity","2022 Additional Measures Scenario",0
"170",2011,"Canada","Electricity","2022 Reference Case",0
"171",2011,"Canada","Electricity","NIR 2022",86.6
"172",2011,"MB","Electricity","2022 Additional Measures Scenario",0
"173",2011,"MB","Electricity","2022 Reference Case",0
"174",2011,"MB","Electricity","NIR 2022",0.1
"175",2011,"ATL","Electricity","2022 Additional Measures Scenario",0
"176",2011,"ATL","Electricity","2022 Reference Case",0
"177",2011,"ATL","Electricity","NIR 2022",13.6
"178",2011,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"179",2011,"Northwest Territories","Electricity","2022 Reference Case",0
"180",2011,"Northwest Territories","Electricity","NIR 2022",0
"181",2011,"ON","Electricity","2022 Additional Measures Scenario",0
"182",2011,"ON","Electricity","2022 Reference Case",0
"183",2011,"ON","Electricity","NIR 2022",12.9
"184",2011,"QC","Electricity","2022 Additional Measures Scenario",0
"185",2011,"QC","Electricity","2022 Reference Case",0
"186",2011,"QC","Electricity","NIR 2022",0.4
"187",2011,"SK","Electricity","2022 Additional Measures Scenario",0
"188",2011,"SK","Electricity","2022 Reference Case",0
"189",2011,"SK","Electricity","NIR 2022",14.2
"190",2012,"AB","Electricity","2022 Additional Measures Scenario",0
"191",2012,"AB","Electricity","2022 Reference Case",0
"192",2012,"AB","Electricity","NIR 2022",42.4
"193",2012,"BC","Electricity","2022 Additional Measures Scenario",0
"194",2012,"BC","Electricity","2022 Reference Case",0
"195",2012,"BC","Electricity","NIR 2022",0.3
"196",2012,"Canada","Electricity","2022 Additional Measures Scenario",0
"197",2012,"Canada","Electricity","2022 Reference Case",0
"198",2012,"Canada","Electricity","NIR 2022",83.3
"199",2012,"MB","Electricity","2022 Additional Measures Scenario",0
"200",2012,"MB","Electricity","2022 Reference Case",0
"201",2012,"MB","Electricity","NIR 2022",0.1
"202",2012,"ATL","Electricity","2022 Additional Measures Scenario",0
"203",2012,"ATL","Electricity","2022 Reference Case",0
"204",2012,"ATL","Electricity","NIR 2022",12.1
"205",2012,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"206",2012,"Northwest Territories","Electricity","2022 Reference Case",0
"207",2012,"Northwest Territories","Electricity","NIR 2022",0
"208",2012,"ON","Electricity","2022 Additional Measures Scenario",0
"209",2012,"ON","Electricity","2022 Reference Case",0
"210",2012,"ON","Electricity","NIR 2022",13
"211",2012,"QC","Electricity","2022 Additional Measures Scenario",0
"212",2012,"QC","Electricity","2022 Reference Case",0
"213",2012,"QC","Electricity","NIR 2022",0.5
"214",2012,"SK","Electricity","2022 Additional Measures Scenario",0
"215",2012,"SK","Electricity","2022 Reference Case",0
"216",2012,"SK","Electricity","NIR 2022",14.7
"217",2013,"AB","Electricity","2022 Additional Measures Scenario",0
"218",2013,"AB","Electricity","2022 Reference Case",0
"219",2013,"AB","Electricity","NIR 2022",43.8
"220",2013,"BC","Electricity","2022 Additional Measures Scenario",0
"221",2013,"BC","Electricity","2022 Reference Case",0
"222",2013,"BC","Electricity","NIR 2022",0.4
"223",2013,"Canada","Electricity","2022 Additional Measures Scenario",0
"224",2013,"Canada","Electricity","2022 Reference Case",0
"225",2013,"Canada","Electricity","NIR 2022",79.7
"226",2013,"MB","Electricity","2022 Additional Measures Scenario",0
"227",2013,"MB","Electricity","2022 Reference Case",0
"228",2013,"MB","Electricity","NIR 2022",0.1
"229",2013,"ATL","Electricity","2022 Additional Measures Scenario",0
"230",2013,"ATL","Electricity","2022 Reference Case",0
"231",2013,"ATL","Electricity","NIR 2022",12
"232",2013,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"233",2013,"Northwest Territories","Electricity","2022 Reference Case",0
"234",2013,"Northwest Territories","Electricity","NIR 2022",0
"235",2013,"ON","Electricity","2022 Additional Measures Scenario",0
"236",2013,"ON","Electricity","2022 Reference Case",0
"237",2013,"ON","Electricity","NIR 2022",9.2
"238",2013,"QC","Electricity","2022 Additional Measures Scenario",0
"239",2013,"QC","Electricity","2022 Reference Case",0
"240",2013,"QC","Electricity","NIR 2022",0.4
"241",2013,"SK","Electricity","2022 Additional Measures Scenario",0
"242",2013,"SK","Electricity","2022 Reference Case",0
"243",2013,"SK","Electricity","NIR 2022",13.6
"244",2014,"AB","Electricity","2022 Additional Measures Scenario",0
"245",2014,"AB","Electricity","2022 Reference Case",0
"246",2014,"AB","Electricity","NIR 2022",44.3
"247",2014,"BC","Electricity","2022 Additional Measures Scenario",0
"248",2014,"BC","Electricity","2022 Reference Case",0
"249",2014,"BC","Electricity","NIR 2022",0.3
"250",2014,"Canada","Electricity","2022 Additional Measures Scenario",0
"251",2014,"Canada","Electricity","2022 Reference Case",0
"252",2014,"Canada","Electricity","NIR 2022",76.3
"253",2014,"MB","Electricity","2022 Additional Measures Scenario",0
"254",2014,"MB","Electricity","2022 Reference Case",0
"255",2014,"MB","Electricity","NIR 2022",0.1
"256",2014,"ATL","Electricity","2022 Additional Measures Scenario",0
"257",2014,"ATL","Electricity","2022 Reference Case",0
"258",2014,"ATL","Electricity","NIR 2022",12.2
"259",2014,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"260",2014,"Northwest Territories","Electricity","2022 Reference Case",0
"261",2014,"Northwest Territories","Electricity","NIR 2022",0
"262",2014,"ON","Electricity","2022 Additional Measures Scenario",0
"263",2014,"ON","Electricity","2022 Reference Case",0
"264",2014,"ON","Electricity","NIR 2022",5
"265",2014,"QC","Electricity","2022 Additional Measures Scenario",0
"266",2014,"QC","Electricity","2022 Reference Case",0
"267",2014,"QC","Electricity","NIR 2022",0.3
"268",2014,"SK","Electricity","2022 Additional Measures Scenario",0
"269",2014,"SK","Electricity","2022 Reference Case",0
"270",2014,"SK","Electricity","NIR 2022",13.8
"271",2015,"AB","Electricity","2022 Additional Measures Scenario",0
"272",2015,"AB","Electricity","2022 Reference Case",0
"273",2015,"AB","Electricity","NIR 2022",46.4
"274",2015,"BC","Electricity","2022 Additional Measures Scenario",0
"275",2015,"BC","Electricity","2022 Reference Case",0
"276",2015,"BC","Electricity","NIR 2022",0.3
"277",2015,"Canada","Electricity","2022 Additional Measures Scenario",0
"278",2015,"Canada","Electricity","2022 Reference Case",0
"279",2015,"Canada","Electricity","NIR 2022",79.7
"280",2015,"MB","Electricity","2022 Additional Measures Scenario",0
"281",2015,"MB","Electricity","2022 Reference Case",0
"282",2015,"MB","Electricity","NIR 2022",0.1
"283",2015,"ATL","Electricity","2022 Additional Measures Scenario",0
"284",2015,"ATL","Electricity","2022 Reference Case",0
"285",2015,"ATL","Electricity","NIR 2022",12.1
"286",2015,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"287",2015,"Northwest Territories","Electricity","2022 Reference Case",0
"288",2015,"Northwest Territories","Electricity","NIR 2022",0
"289",2015,"ON","Electricity","2022 Additional Measures Scenario",0
"290",2015,"ON","Electricity","2022 Reference Case",0
"291",2015,"ON","Electricity","NIR 2022",5.4
"292",2015,"QC","Electricity","2022 Additional Measures Scenario",0
"293",2015,"QC","Electricity","2022 Reference Case",0
"294",2015,"QC","Electricity","NIR 2022",0.3
"295",2015,"SK","Electricity","2022 Additional Measures Scenario",0
"296",2015,"SK","Electricity","2022 Reference Case",0
"297",2015,"SK","Electricity","NIR 2022",14.8
"298",2016,"AB","Electricity","2022 Additional Measures Scenario",0
"299",2016,"AB","Electricity","2022 Reference Case",0
"300",2016,"AB","Electricity","NIR 2022",41.6
"301",2016,"BC","Electricity","2022 Additional Measures Scenario",0
"302",2016,"BC","Electricity","2022 Reference Case",0
"303",2016,"BC","Electricity","NIR 2022",0.4
"304",2016,"Canada","Electricity","2022 Additional Measures Scenario",0
"305",2016,"Canada","Electricity","2022 Reference Case",0
"306",2016,"Canada","Electricity","NIR 2022",74.3
"307",2016,"MB","Electricity","2022 Additional Measures Scenario",0
"308",2016,"MB","Electricity","2022 Reference Case",0
"309",2016,"MB","Electricity","NIR 2022",0.1
"310",2016,"ATL","Electricity","2022 Additional Measures Scenario",0
"311",2016,"ATL","Electricity","2022 Reference Case",0
"312",2016,"ATL","Electricity","NIR 2022",12.1
"313",2016,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"314",2016,"Northwest Territories","Electricity","2022 Reference Case",0
"315",2016,"Northwest Territories","Electricity","NIR 2022",0
"316",2016,"ON","Electricity","2022 Additional Measures Scenario",0
"317",2016,"ON","Electricity","2022 Reference Case",0
"318",2016,"ON","Electricity","NIR 2022",4.8
"319",2016,"QC","Electricity","2022 Additional Measures Scenario",0
"320",2016,"QC","Electricity","2022 Reference Case",0
"321",2016,"QC","Electricity","NIR 2022",0.3
"322",2016,"SK","Electricity","2022 Additional Measures Scenario",0
"323",2016,"SK","Electricity","2022 Reference Case",0
"324",2016,"SK","Electricity","NIR 2022",14.7
"325",2017,"AB","Electricity","2022 Additional Measures Scenario",0
"326",2017,"AB","Electricity","2022 Reference Case",0
"327",2017,"AB","Electricity","NIR 2022",42.5
"328",2017,"BC","Electricity","2022 Additional Measures Scenario",0
"329",2017,"BC","Electricity","2022 Reference Case",0
"330",2017,"BC","Electricity","NIR 2022",0.4
"331",2017,"Canada","Electricity","2022 Additional Measures Scenario",0
"332",2017,"Canada","Electricity","2022 Reference Case",0
"333",2017,"Canada","Electricity","NIR 2022",72.6
"334",2017,"MB","Electricity","2022 Additional Measures Scenario",0
"335",2017,"MB","Electricity","2022 Reference Case",0
"336",2017,"MB","Electricity","NIR 2022",0.1
"337",2017,"ATL","Electricity","2022 Additional Measures Scenario",0
"338",2017,"ATL","Electricity","2022 Reference Case",0
"339",2017,"ATL","Electricity","NIR 2022",11.7
"340",2017,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"341",2017,"Northwest Territories","Electricity","2022 Reference Case",0
"342",2017,"Northwest Territories","Electricity","NIR 2022",0
"343",2017,"ON","Electricity","2022 Additional Measures Scenario",0
"344",2017,"ON","Electricity","2022 Reference Case",0
"345",2017,"ON","Electricity","NIR 2022",2.2
"346",2017,"QC","Electricity","2022 Additional Measures Scenario",0
"347",2017,"QC","Electricity","2022 Reference Case",0
"348",2017,"QC","Electricity","NIR 2022",0.3
"349",2017,"SK","Electricity","2022 Additional Measures Scenario",0
"350",2017,"SK","Electricity","2022 Reference Case",0
"351",2017,"SK","Electricity","NIR 2022",15.3
"352",2019,"AB","Electricity","2022 Additional Measures Scenario",0
"353",2019,"AB","Electricity","2022 Reference Case",0
"354",2019,"AB","Electricity","NIR 2022",31.1
"355",2019,"BC","Electricity","2022 Additional Measures Scenario",0
"356",2019,"BC","Electricity","2022 Reference Case",0
"357",2019,"BC","Electricity","NIR 2022",0.8
"358",2019,"Canada","Electricity","2022 Additional Measures Scenario",0
"359",2019,"Canada","Electricity","2022 Reference Case",0
"360",2019,"Canada","Electricity","NIR 2022",61.8
"361",2019,"MB","Electricity","2022 Additional Measures Scenario",0
"362",2019,"MB","Electricity","2022 Reference Case",0
"363",2019,"MB","Electricity","NIR 2022",0
"364",2019,"ATL","Electricity","2022 Additional Measures Scenario",0
"365",2019,"ATL","Electricity","2022 Reference Case",0
"366",2019,"ATL","Electricity","NIR 2022",11
"367",2019,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"368",2019,"Northwest Territories","Electricity","2022 Reference Case",0
"369",2019,"Northwest Territories","Electricity","NIR 2022",0
"370",2019,"ON","Electricity","2022 Additional Measures Scenario",0
"371",2019,"ON","Electricity","2022 Reference Case",0
"372",2019,"ON","Electricity","NIR 2022",3.4
"373",2019,"QC","Electricity","2022 Additional Measures Scenario",0
"374",2019,"QC","Electricity","2022 Reference Case",0
"375",2019,"QC","Electricity","NIR 2022",0.3
"376",2019,"SK","Electricity","2022 Additional Measures Scenario",0
"377",2019,"SK","Electricity","2022 Reference Case",0
"378",2019,"SK","Electricity","NIR 2022",14.8
"379",2020,"AB","Electricity","2022 Additional Measures Scenario",0
"380",2020,"AB","Electricity","2022 Reference Case",0
"381",2020,"AB","Electricity","NIR 2022",29.3
"382",2020,"BC","Electricity","2022 Additional Measures Scenario",0
"383",2020,"BC","Electricity","2022 Reference Case",0
"384",2020,"BC","Electricity","NIR 2022",0.3
"385",2020,"Canada","Electricity","2022 Additional Measures Scenario",0
"386",2020,"Canada","Electricity","2022 Reference Case",0
"387",2020,"Canada","Electricity","NIR 2022",56.2
"388",2020,"MB","Electricity","2022 Additional Measures Scenario",0
"389",2020,"MB","Electricity","2022 Reference Case",0
"390",2020,"MB","Electricity","NIR 2022",0
"391",2020,"ATL","Electricity","2022 Additional Measures Scenario",0
"392",2020,"ATL","Electricity","2022 Reference Case",0
"393",2020,"ATL","Electricity","NIR 2022",10.2
"394",2020,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"395",2020,"Northwest Territories","Electricity","2022 Reference Case",0
"396",2020,"Northwest Territories","Electricity","NIR 2022",0
"397",2020,"ON","Electricity","2022 Additional Measures Scenario",0
"398",2020,"ON","Electricity","2022 Reference Case",0
"399",2020,"ON","Electricity","NIR 2022",3.2
"400",2020,"QC","Electricity","2022 Additional Measures Scenario",0
"401",2020,"QC","Electricity","2022 Reference Case",0
"402",2020,"QC","Electricity","NIR 2022",0.4
"403",2020,"SK","Electricity","2022 Additional Measures Scenario",0
"404",2020,"SK","Electricity","2022 Reference Case",0
"405",2020,"SK","Electricity","NIR 2022",12.6
"406",2021,"AB","Electricity","2022 Additional Measures Scenario",28.4
